date,weight
19-May-2014,92.5
19-Jun-2014,95.0
19-Jul-2014,94.0
19-Aug-2014,96.0
19-Sep-2014,97.0
19-Oct-2014,96.4
19-Nov-2014,95.0
19-Dec-2014,93.4
12-Jul-2015,97.9
4-Aug-2015,98.5
17-Mar-2016,98.9
18-Apr-2016,100.0
9-Jun-2016,102.7
6-Jul-2016,102.7
17-Jul-2016,97.7
3-Sep-2016,98.9
25-Sep-2016,99.0
22-Nov-2016,97.9
18-Dec-2016,98.1
4-Jan-2017,97.3
11-Feb-2017,97.1
21-Mar-2017,98.3
16-Apr-2017,99.0
18-Jun-2017,98.9
16-Jul-2017,97.9
2-Sep-2017,93.3
24-Dec-2017,96.5
20-Feb-2018,97.3
28-Aug-2018,96.8
28-Sep-2018,96.6
30-Oct-2019,98.0
